id,src,tags,svgPath,composition,startTime,endTime,setPath
,"/Clips/Bach Mov 2 v2_[R, T, 4L,  MR, FD]_[0,25,85]_[0,26,944] [2021-09-25 001402].wav","R, T, 4L,  MR, FD","M0, 13C5.389333333333334,13.166666666666666 21.557333333333332,11.5 32.336000000000006,14C43.11466666666667,16.5 53.893333333333345,25.833333333333332 64.67200000000001,28C75.45066666666666,30.166666666666668 80.84,29.666666666666668 97.008,27C113.176,24.333333333333332 140.12266666666667,14.666666666666666 161.68,12C183.23733333333334,9.333333333333334 210.184,9.5 226.352,11C242.52,12.5 247.90933333333336,20.5 258.68800000000005,21C269.4666666666667,21.5 285.63466666666665,19.833333333333332 291.024,14C296.41333333333336,8.166666666666666 296.41333333333336,-8.166666666666666 291.024,-14C285.63466666666665,-19.833333333333332 269.46666666666664,-21.5 258.68800000000005,-21C247.9093333333334,-20.5 242.52,-12.5 226.352,-11C210.184,-9.5 183.23733333333334,-9.333333333333334 161.68,-12C140.12266666666667,-14.666666666666666 113.176,-24.333333333333332 97.008,-27C80.84,-29.666666666666668 75.45066666666666,-30.166666666666668 64.67200000000001,-28C53.893333333333345,-25.833333333333332 43.11466666666667,-16.5 32.336000000000006,-14C21.557333333333332,-11.5 5.389333333333334,-17.5 0,-13C-5.389333333333334,-8.5 0,13 0,13C0,17.333333333333332 0,13 0,13",Bach Movement 1,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 2 v2_[R, T, 4L, MR]_[1,1,913]_[1,3,757] [2021-09-25 001403].wav","R, T, 4L, MR","M0, 10C5.357333333333333,11.166666666666666 21.42933333333333,16.666666666666668 32.144,17C42.858666666666664,17.333333333333332 53.57333333333332,11.166666666666666 64.288,12C75.00266666666666,12.833333333333334 85.71733333333333,22.166666666666668 96.432,22C107.14666666666666,21.833333333333332 107.14666666666665,11 128.576,11C150.0053333333333,11 203.57866666666663,21.5 225.00799999999998,22C246.4373333333333,22.5 246.4373333333333,12 257.152,14C267.8666666666666,16 283.9386666666666,42 289.296,34C294.6533333333333,26 294.6533333333333,-26 289.296,-34C283.9386666666666,-42 267.8666666666666,-16 257.152,-14C246.4373333333333,-12 246.4373333333333,-22.5 225.00799999999998,-22C203.57866666666663,-21.5 150.0053333333333,-11 128.576,-11C107.14666666666665,-11 107.14666666666666,-21.833333333333332 96.432,-22C85.71733333333333,-22.166666666666668 75.00266666666666,-12.833333333333334 64.288,-12C53.57333333333332,-11.166666666666666 42.858666666666664,-17.333333333333332 32.144,-17C21.42933333333333,-16.666666666666668 5.357333333333333,-14.5 0,-10C-5.357333333333333,-5.5 0,10 0,10C0,13.333333333333334 0,10 0,10",Bach Movement 1,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 2 v2_[T, FL, R, LR, 3L]_[0,35, 327]_[0,36,644] [2021-09-25 001402].wav","T, FL, R, LR, 3L","M0, 12C8.602666666666666,12 38.71200000000001,9.833333333333334 51.616,12C64.52,14.166666666666666 68.82133333333333,24.333333333333332 77.42399999999999,25C86.02666666666666,25.666666666666668 90.32800000000002,15.833333333333334 103.232,16C116.13600000000001,16.166666666666668 137.64266666666666,24.333333333333332 154.84799999999998,26C172.0533333333333,27.666666666666668 193.56000000000003,26.833333333333332 206.464,26C219.36800000000002,25.166666666666668 227.9706666666667,28.833333333333332 232.272,21C236.57333333333335,13.166666666666666 245.17600000000002,-13.166666666666666 232.272,-21C219.36800000000002,-28.833333333333332 176.35466666666665,-26.833333333333332 154.84799999999998,-26C133.34133333333332,-25.166666666666668 116.13600000000001,-16.166666666666668 103.232,-16C90.32800000000002,-15.833333333333334 86.02666666666666,-25.666666666666668 77.42399999999999,-25C68.82133333333333,-24.333333333333332 64.52,-14.166666666666666 51.616,-12C38.71200000000001,-9.833333333333334 8.602666666666666,-16 0,-12C-8.602666666666666,-8 0,12 0,12C0,16 0,12 0,12",Bach Movement 1,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 2 v2_[T, LR, R, 4L]_[0,12,253]_[0,14,101] [2021-09-25 001401].wav","T, LR, R, 4L","M0, 10C5.362666666666667,12 21.450666666666667,21.833333333333332 32.176,22C42.90133333333333,22.166666666666668 53.626666666666665,10.166666666666666 64.352,11C75.07733333333334,11.833333333333334 85.80266666666664,26.5 96.52799999999999,27C107.25333333333333,27.5 117.97866666666668,16.5 128.704,14C139.42933333333335,11.5 150.15466666666666,10 160.88,12C171.60533333333333,14 182.33066666666664,26.166666666666668 193.05599999999998,26C203.78133333333327,25.833333333333332 209.14399999999998,13.166666666666666 225.23199999999997,11C241.31999999999996,8.833333333333334 278.85866666666664,17 289.584,13C300.3093333333333,9 300.3093333333333,-9 289.584,-13C278.85866666666664,-17 241.31999999999996,-8.833333333333334 225.23199999999997,-11C209.14399999999998,-13.166666666666666 203.78133333333327,-25.833333333333332 193.05599999999998,-26C182.33066666666664,-26.166666666666668 171.60533333333333,-14 160.88,-12C150.15466666666666,-10 139.42933333333335,-11.5 128.704,-14C117.97866666666668,-16.5 107.25333333333332,-27.5 96.52799999999999,-27C85.80266666666665,-26.5 75.07733333333333,-11.833333333333334 64.352,-11C53.62666666666667,-10.166666666666666 42.90133333333333,-22.166666666666668 32.176,-22C21.450666666666667,-21.833333333333332 5.362666666666667,-15.333333333333334 0,-10C-5.362666666666667,-4.666666666666667 0,10 0,10C0,13.333333333333334 0,10 0,10",Bach Movement 1,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 2 v2_[T, ST, LR]_[0,39,413]_[0,39,710] [2021-09-25 001402].wav","T, ST, LR","M0, 13C9.056000000000001,16.5 40.752,33.666666666666664 54.336000000000006,34C67.92,34.333333333333336 70.18400000000001,18.666666666666668 81.504,15C92.824,11.333333333333334 115.46400000000001,16.5 122.256,12C129.048,7.5 129.048,-7.5 122.256,-12C115.46400000000001,-16.5 92.824,-11.333333333333334 81.504,-15C70.18400000000001,-18.666666666666668 67.92,-34.333333333333336 54.336000000000006,-34C40.752,-33.666666666666664 9.056000000000001,-20.833333333333332 0,-13C-9.056000000000001,-5.166666666666667 0,13 0,13C0,17.333333333333332 0,13 0,13",Bach Movement 1,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 3 v2_[4L, T,  M, MR, C]_[0,5,940]_[1,2,190] [2021-09-25 005634].wav","4L, T,  M, MR, C","M0, 24C6.168,23.666666666666668 18.504,20.333333333333332 37.008,22C55.512,23.666666666666668 80.18399999999998,35.333333333333336 111.02399999999999,34C141.86399999999998,32.666666666666664 185.03999999999996,17.833333333333332 222.04799999999997,14C259.056,10.166666666666666 314.568,15.166666666666666 333.072,11C351.576,6.833333333333333 351.576,-6.833333333333333 333.072,-11C314.56800000000004,-15.166666666666666 259.056,-10.166666666666666 222.04799999999997,-14C185.03999999999996,-17.833333333333332 141.86399999999998,-32.666666666666664 111.02399999999999,-34C80.18399999999998,-35.333333333333336 55.512,-23.666666666666668 37.008,-22C18.504,-20.333333333333332 6.168,-31.666666666666668 0,-24C-6.168,-16.333333333333332 0,24 0,24C0,32 0,24 0,24",Bach Movement 1,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 3 v2_[4L, T, FL, MR]_[1,56,127]_[1,58,838] [2021-09-25 005635].wav","4L, T, FL, MR","M0, 12C7.090666666666667,15 28.362666666666666,28.166666666666668 42.544000000000004,30C56.72533333333334,31.833333333333332 70.90666666666667,22.666666666666668 85.08800000000001,23C99.26933333333334,23.333333333333332 113.45066666666663,31.166666666666668 127.63199999999999,32C141.81333333333333,32.833333333333336 155.9946666666667,31 170.17600000000002,28C184.35733333333334,25 177.26666666666665,14.166666666666666 212.72,14C248.17333333333332,13.833333333333334 354.5333333333333,33.833333333333336 382.896,27C411.2586666666668,20.166666666666668 411.2586666666668,-20.166666666666668 382.896,-27C354.53333333333336,-33.833333333333336 248.17333333333332,-13.833333333333334 212.72,-14C177.26666666666665,-14.166666666666666 184.35733333333334,-25 170.17600000000002,-28C155.99466666666666,-31 141.81333333333333,-32.833333333333336 127.63199999999999,-32C113.45066666666663,-31.166666666666668 99.26933333333334,-23.333333333333332 85.08800000000001,-23C70.90666666666667,-22.666666666666668 56.72533333333334,-31.833333333333332 42.544000000000004,-30C28.362666666666666,-28.166666666666668 7.090666666666667,-19 0,-12C-7.090666666666667,-5 0,12 0,12C0,16 0,12 0,12",Bach Movement 1,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 3 v2_[4L, T, M, LR, C]_[0,16,2]_[0,18,440] [2021-09-25 005632].wav","4L, T, M, LR, C","M0, 14C6.546666666666667,15.5 13.093333333333334,21.5 39.28,23C65.46666666666667,24.5 124.38666666666666,20.166666666666668 157.12,23C189.85333333333335,25.833333333333332 216.03999999999996,40.166666666666664 235.68,40C255.32000000000002,39.833333333333336 261.8666666666666,21.666666666666668 274.96,22C288.0533333333333,22.333333333333332 301.1466666666667,41.333333333333336 314.24,42C327.3333333333333,42.666666666666664 346.9733333333334,37.333333333333336 353.52000000000004,26C360.0666666666668,14.666666666666666 360.0666666666668,-14.666666666666666 353.52000000000004,-26C346.97333333333336,-37.333333333333336 327.3333333333333,-42.666666666666664 314.24,-42C301.1466666666667,-41.333333333333336 288.0533333333333,-22.333333333333332 274.96,-22C261.8666666666666,-21.666666666666668 255.32000000000002,-39.833333333333336 235.68,-40C216.03999999999996,-40.166666666666664 189.85333333333335,-25.833333333333332 157.12,-23C124.38666666666666,-20.166666666666668 65.46666666666667,-24.5 39.28,-23C13.093333333333334,-21.5 6.546666666666667,-20.166666666666668 0,-14C-6.546666666666667,-7.833333333333333 0,14 0,14C0,18.666666666666668 0,14 0,14",Bach Movement 1,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 3 v2_[C, LT, T]_[2,8,190]_[2,10,120] [2021-09-25 005635].wav","C, LT, T","M0, 16C5.528,16 16.583999999999996,13.166666666666666 33.168,16C49.752,18.833333333333332 82.92,31.333333333333332 99.504,33C116.08800000000001,34.666666666666664 121.61599999999999,25.833333333333332 132.672,26C143.72799999999998,26.166666666666668 149.256,33.5 165.84,34C182.42399999999998,34.5 215.59199999999998,29 232.176,29C248.76000000000002,29 254.28799999999998,36.333333333333336 265.344,34C276.4,31.666666666666668 292.98400000000004,23.166666666666668 298.512,15C304.04,6.833333333333333 304.04,-6.833333333333333 298.512,-15C292.98400000000004,-23.166666666666668 276.4,-31.666666666666668 265.344,-34C254.28799999999998,-36.333333333333336 248.76000000000002,-29 232.176,-29C215.59199999999998,-29 182.42399999999998,-34.5 165.84,-34C149.256,-33.5 143.72799999999998,-26.166666666666668 132.672,-26C121.61599999999999,-25.833333333333332 116.08800000000001,-34.666666666666664 99.504,-33C82.92,-31.333333333333332 49.752,-18.833333333333332 33.168,-16C16.583999999999996,-13.166666666666666 5.528,-21.333333333333332 0,-16C-5.528,-10.666666666666666 0,16 0,16C0,21.333333333333332 0,16 0,16",Bach Movement 1,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 3 v2_[FL, T, MR, UL]_[0,22,846]_[0,25,502] [2021-09-25 005633].wav","FL, T, MR, UL","M0, 12C20.951999999999998,15 97.776,28.666666666666668 125.71199999999999,30C153.648,31.333333333333332 146.664,22.5 167.61599999999999,20C188.56799999999998,17.5 216.504,15.333333333333334 251.42399999999998,15C286.344,14.666666666666666 356.18399999999997,23.5 377.13599999999997,18C398.08799999999997,12.5 398.08799999999997,-12.5 377.13599999999997,-18C356.18399999999997,-23.5 286.344,-14.666666666666666 251.42399999999998,-15C216.504,-15.333333333333334 188.56799999999998,-17.5 167.61599999999999,-20C146.664,-22.5 153.648,-31.333333333333332 125.71199999999999,-30C97.776,-28.666666666666668 20.951999999999998,-19 0,-12C-20.951999999999998,-5 0,12 0,12C0,16 0,12 0,12",Bach Movement 1,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
